,NEIGHBORHOOD_CLUSTER,crime_cnt,ucr-rank_avg,SHIFT_day_rate,SHIFT_evening_rate,SHIFT_midnight_rate,OFFENSE_GROUP_property_rate,OFFENSE_GROUP_violent_rate,METHOD_gun_rate,METHOD_knife_rate,METHOD_others_rate,cluster
0,1,11191,6.074256098650701,0.3897774997766062,0.3833437583772675,0.2268787418461263,0.8681976588329908,0.1318023411670092,0.0278795460638012,0.0191225091591457,0.952997944777053,0
1,2,35714,5.979755838046704,0.3672789382315058,0.443187545500364,0.1895335162681301,0.8305706445651565,0.1694293554348434,0.0437363498907991,0.0325642605140841,0.9236993895951168,0
2,3,19242,6.150452135952603,0.3184180438623843,0.397983577590687,0.2835983785469286,0.8625402764785365,0.1374597235214634,0.0363787548071926,0.0210996777881717,0.9425215674046356,0
3,4,12988,6.073375423467817,0.3420080073914383,0.5561287342161996,0.1018632583923621,0.9484139205420388,0.0515860794579612,0.0087773329226978,0.006544502617801,0.9846781644595012,4
4,5,7224,5.989617940199335,0.3835825027685492,0.4707918050941306,0.14562569213732,0.9231727574750832,0.0768272425249169,0.0096899224806201,0.010797342192691,0.9795127353266888,4
5,6,24970,6.0961553864637565,0.3714857829395274,0.4228273928714457,0.2056868241890268,0.9118942731277532,0.0881057268722467,0.0132959551461754,0.0117741289547456,0.9749299158990788,0
6,7,15390,6.157959714100065,0.3541910331384015,0.4452891487979207,0.2005198180636777,0.878427550357375,0.121572449642625,0.0362573099415204,0.0193632228719948,0.9443794671864848,0
7,8,29960,6.018457943925234,0.3322096128170894,0.4744659546061415,0.193324432576769,0.8930574098798398,0.1069425901201602,0.0180574098798397,0.0198598130841121,0.962082777036048,4
8,9,7655,5.969693011103853,0.3832789026779882,0.4446766819072502,0.1720444154147616,0.8423252775963422,0.1576747224036577,0.0497713912475506,0.0310907903331156,0.9191378184193336,0
9,10,3684,6.38056460369164,0.496742671009772,0.4264386536373507,0.0768186753528773,0.9571118349619978,0.0428881650380021,0.013029315960912,0.004343105320304,0.982627578718784,2
10,11,7701,6.159849370211661,0.3865731723152837,0.5353850149331255,0.0780418127515907,0.9477989871445268,0.0522010128554733,0.0105181145305804,0.0072717828853395,0.98221010258408,4
11,12,2790,6.166308243727599,0.4419354838709677,0.4691756272401434,0.0888888888888888,0.9494623655913978,0.0505376344086021,0.0089605734767025,0.0082437275985663,0.9827956989247312,4
12,13,2976,6.42372311827957,0.5346102150537635,0.3901209677419355,0.075268817204301,0.969758064516129,0.0302419354838709,0.0053763440860215,0.0040322580645161,0.9905913978494624,2
13,14,3754,6.17394778902504,0.4627064464571124,0.4230154501864677,0.1142781033564198,0.9523175279701652,0.0476824720298348,0.0098561534363345,0.0066595631326584,0.9834842834310068,2
