,AYB,YR_RMDL,EYB,SALEDATE,GIS_LAST_MOD_DTTM
135,1908.0,2015.0,1967,2015-04-22 00:00:00,2018-07-22 18:01:43
136,1908.0,,1957,2000-02-22 00:00:00,2018-07-22 18:01:43
137,1906.0,2013.0,1972,2011-08-19 00:00:00,2018-07-22 18:01:43
138,1906.0,2015.0,1972,2017-04-28 00:00:00,2018-07-22 18:01:43
140,1906.0,2010.0,1963,2010-05-19 00:00:00,2018-07-22 18:01:43
142,1906.0,2007.0,1972,2015-08-24 00:00:00,2018-07-22 18:01:43
146,1939.0,2004.0,1985,2015-10-30 00:00:00,2018-07-22 18:01:43
148,1939.0,2007.0,1980,2007-11-16 00:00:00,2018-07-22 18:01:43
149,1939.0,2004.0,1967,2017-07-25 00:00:00,2018-07-22 18:01:43
150,1880.0,2004.0,1967,2012-02-17 00:00:00,2018-07-22 18:01:43
151,1885.0,1984.0,1957,2014-12-23 00:00:00,2018-07-22 18:01:43
152,1910.0,1996.0,1967,2008-01-18 00:00:00,2018-07-22 18:01:43
153,1900.0,,1960,2017-11-09 00:00:00,2018-07-22 18:01:43
154,1900.0,2007.0,1972,2017-04-28 00:00:00,2018-07-22 18:01:43
156,1900.0,2001.0,1969,2001-06-27 00:00:00,2018-07-22 18:01:43
157,1904.0,2004.0,1969,2013-08-06 00:00:00,2018-07-22 18:01:43
158,1900.0,2004.0,1969,2005-05-25 00:00:00,2018-07-22 18:01:43
160,1900.0,2003.0,1969,2016-09-21 00:00:00,2018-07-22 18:01:43
161,1880.0,2013.0,1964,2017-07-10 00:00:00,2018-07-22 18:01:43
163,1880.0,2011.0,1967,2010-10-28 00:00:00,2018-07-22 18:01:43
165,1890.0,2005.0,1957,1993-05-26 00:00:00,2018-07-22 18:01:43
169,1911.0,2004.0,1957,1997-03-04 00:00:00,2018-07-22 18:01:43
172,1890.0,2009.0,1969,2010-06-02 00:00:00,2018-07-22 18:01:43
173,1900.0,2016.0,1972,2017-07-25 00:00:00,2018-07-22 18:01:43
175,1900.0,2004.0,1963,1994-12-12 00:00:00,2018-07-22 18:01:43
177,1900.0,,1963,2018-07-05 00:00:00,2018-07-22 18:01:43
180,1900.0,2007.0,1969,2012-08-02 00:00:00,2018-07-22 18:01:43
181,1976.0,2004.0,1984,2009-09-24 00:00:00,2018-07-22 18:01:43
183,1880.0,2004.0,1967,2004-06-10 00:00:00,2018-07-22 18:01:43
184,1890.0,2008.0,1967,2012-09-05 00:00:00,2018-07-22 18:01:43
185,1888.0,,1960,1997-07-03 00:00:00,2018-07-22 18:01:43
186,1880.0,2011.0,1960,1998-12-11 00:00:00,2018-07-22 18:01:43
190,1880.0,,1960,2000-02-02 00:00:00,2018-07-22 18:01:43
191,1880.0,2010.0,1969,2017-05-26 00:00:00,2018-07-22 18:01:43
194,1880.0,2014.0,1987,2016-05-04 00:00:00,2018-07-22 18:01:43
197,1880.0,2004.0,1960,1993-01-05 00:00:00,2018-07-22 18:01:43
201,1905.0,,1970,1997-12-05 00:00:00,2018-07-22 18:01:43
202,1905.0,2006.0,1972,2013-11-26 00:00:00,2018-07-22 18:01:43
204,1905.0,1999.0,1963,2010-08-13 00:00:00,2018-07-22 18:01:43
205,1890.0,2009.0,1972,1998-06-01 00:00:00,2018-07-22 18:01:43
208,1890.0,1988.0,1970,2005-03-03 00:00:00,2018-07-22 18:01:43
209,1890.0,2012.0,1972,2008-03-03 00:00:00,2018-07-22 18:01:43
212,1875.0,2012.0,1972,2017-08-10 00:00:00,2018-07-22 18:01:43
213,1890.0,1990.0,1972,2013-03-20 00:00:00,2018-07-22 18:01:43
215,1890.0,1975.0,1972,2009-10-06 00:00:00,2018-07-22 18:01:43
218,1890.0,,1969,2016-03-14 00:00:00,2018-07-22 18:01:43
219,1890.0,1950.0,1969,2003-06-25 00:00:00,2018-07-22 18:01:43
220,1890.0,2007.0,1969,2007-12-18 00:00:00,2018-07-22 18:01:43
221,1890.0,2000.0,1969,2001-12-13 00:00:00,2018-07-22 18:01:43
222,1890.0,,1969,2001-04-02 00:00:00,2018-07-22 18:01:43
224,1885.0,1985.0,1969,2007-09-21 00:00:00,2018-07-22 18:01:43
225,1885.0,2008.0,1969,2017-04-18 00:00:00,2018-07-22 18:01:43
226,1885.0,2007.0,1969,2008-07-07 00:00:00,2018-07-22 18:01:43
227,1876.0,2003.0,1969,2008-06-12 00:00:00,2018-07-22 18:01:43
231,1900.0,1980.0,1964,1994-08-02 00:00:00,2018-07-22 18:01:43
234,1917.0,1987.0,1969,2013-09-26 00:00:00,2018-07-22 18:01:43
235,1880.0,2003.0,1964,2014-06-05 00:00:00,2018-07-22 18:01:43
236,1876.0,2006.0,1964,2017-04-24 00:00:00,2018-07-22 18:01:43
237,1880.0,1985.0,1964,1994-12-07 00:00:00,2018-07-22 18:01:43
238,1900.0,2007.0,1991,2006-09-29 00:00:00,2018-07-22 18:01:43
241,1900.0,2001.0,1978,2005-04-04 00:00:00,2018-07-22 18:01:43
243,1900.0,1988.0,1978,2006-03-30 00:00:00,2018-07-22 18:01:43
244,1900.0,2008.0,1978,2006-06-14 00:00:00,2018-07-22 18:01:43
245,1890.0,2005.0,1979,2006-11-08 00:00:00,2018-07-22 18:01:43
246,1890.0,2014.0,1984,2017-04-11 00:00:00,2018-07-22 18:01:43
250,1897.0,2006.0,1982,2018-02-06 00:00:00,2018-07-22 18:01:43
252,1897.0,1990.0,1972,2015-01-13 00:00:00,2018-07-22 18:01:43
253,1890.0,2011.0,1978,1992-11-16 00:00:00,2018-07-22 18:01:43
254,1910.0,2006.0,1969,2017-10-20 00:00:00,2018-07-22 18:01:43
255,1978.0,,1992,1997-07-21 00:00:00,2018-07-22 18:01:43
256,1978.0,,1992,1992-03-02 00:00:00,2018-07-22 18:01:43
261,1900.0,1998.0,1967,2007-03-21 00:00:00,2018-07-22 18:01:43
263,1910.0,2004.0,1957,2003-10-07 00:00:00,2018-07-22 18:01:43
264,1900.0,2014.0,1963,1999-02-11 00:00:00,2018-07-22 18:01:43
267,1900.0,1956.0,1969,2002-05-21 00:00:00,2018-07-22 18:01:43
268,1900.0,2004.0,1969,2018-04-12 00:00:00,2018-07-22 18:01:43
269,1900.0,2002.0,1967,2005-08-23 00:00:00,2018-07-22 18:01:43
271,1900.0,2009.0,1967,2008-09-09 00:00:00,2018-07-22 18:01:43
273,1900.0,2001.0,1967,2005-10-19 00:00:00,2018-07-22 18:01:43
274,1900.0,2002.0,1967,2003-12-29 00:00:00,2018-07-22 18:01:43
275,1880.0,,1961,2018-07-06 00:00:00,2018-07-22 18:01:43
277,1880.0,,1954,1998-12-18 00:00:00,2018-07-22 18:01:43
278,1880.0,2002.0,1964,2002-09-30 00:00:00,2018-07-22 18:01:43
279,1880.0,2016.0,1964,2016-01-05 00:00:00,2018-07-22 18:01:43
280,1880.0,2006.0,1961,2003-06-20 00:00:00,2018-07-22 18:01:43
282,1900.0,2005.0,1964,2017-06-28 00:00:00,2018-07-22 18:01:43
285,1900.0,2004.0,1964,2011-10-25 00:00:00,2018-07-22 18:01:43
286,1900.0,2003.0,1964,2003-07-03 00:00:00,2018-07-22 18:01:43
287,1900.0,2004.0,1964,2006-10-10 00:00:00,2018-07-22 18:01:43
289,1900.0,,1954,1995-11-21 00:00:00,2018-07-22 18:01:43
290,1878.0,2010.0,1964,2017-06-20 00:00:00,2018-07-22 18:01:43
291,1900.0,2001.0,1964,2006-08-10 00:00:00,2018-07-22 18:01:43
292,1900.0,2013.0,1969,2013-06-13 00:00:00,2018-07-22 18:01:43
295,1900.0,2003.0,1967,2016-12-07 00:00:00,2018-07-22 18:01:43
296,1900.0,1999.0,1957,2000-03-08 00:00:00,2018-07-22 18:01:43
297,1820.0,2008.0,1967,2008-04-15 00:00:00,2018-07-22 18:01:43
299,1920.0,2009.0,1967,2016-06-22 00:00:00,2018-07-22 18:01:43
301,1909.0,,1954,2007-01-16 00:00:00,2018-07-22 18:01:43
302,1900.0,2006.0,1964,2011-03-07 00:00:00,2018-07-22 18:01:43
304,1907.0,,1954,2016-08-02 00:00:00,2018-07-22 18:01:43
306,1900.0,,1967,2008-11-04 00:00:00,2018-07-22 18:01:43
307,1900.0,2014.0,1967,2014-08-06 00:00:00,2018-07-22 18:01:43
308,1900.0,2002.0,1967,2014-04-08 00:00:00,2018-07-22 18:01:43
310,1906.0,,1972,2017-02-10 00:00:00,2018-07-22 18:01:43
312,1880.0,2004.0,1960,2004-03-26 00:00:00,2018-07-22 18:01:43
313,1880.0,2006.0,1957,2001-12-06 00:00:00,2018-07-22 18:01:43
315,1880.0,1990.0,1963,2003-02-25 00:00:00,2018-07-22 18:01:43
316,1880.0,2008.0,1960,1993-08-03 00:00:00,2018-07-22 18:01:43
317,1880.0,,1957,2000-05-04 00:00:00,2018-07-22 18:01:43
320,1989.0,,2000,2012-09-25 00:00:00,2018-07-22 18:01:43
321,1989.0,2010.0,2000,2011-12-06 00:00:00,2018-07-22 18:01:43
322,1886.0,,1963,2001-11-26 00:00:00,2018-07-22 18:01:43
325,1920.0,2013.0,1967,2013-06-17 00:00:00,2018-07-22 18:01:43
326,1895.0,,1947,2018-03-23 00:00:00,2018-07-22 18:01:43
327,1895.0,2008.0,1967,2016-10-21 00:00:00,2018-07-22 18:01:43
328,1895.0,2009.0,1967,2015-08-03 00:00:00,2018-07-22 18:01:43
329,1895.0,1987.0,1960,2006-09-13 00:00:00,2018-07-22 18:01:43
331,1895.0,1991.0,1960,1998-09-25 00:00:00,2018-07-22 18:01:43
332,1895.0,2007.0,1960,2007-03-08 00:00:00,2018-07-22 18:01:43
335,1895.0,2003.0,1960,2002-02-07 00:00:00,2018-07-22 18:01:43
338,1890.0,2009.0,1967,1998-12-15 00:00:00,2018-07-22 18:01:43
339,1890.0,2004.0,1967,2017-04-25 00:00:00,2018-07-22 18:01:43
340,1890.0,,1957,2018-07-03 00:00:00,2018-07-22 18:01:43
341,1890.0,1996.0,1957,2018-05-18 00:00:00,2018-07-22 18:01:43
342,1890.0,2009.0,2008,2016-06-28 00:00:00,2018-07-22 18:01:43
343,2009.0,,2012,2009-07-08 00:00:00,2018-07-22 18:01:43
346,1900.0,1975.0,1969,1996-03-26 00:00:00,2018-07-22 18:01:43
348,1900.0,2004.0,2004,2001-12-19 00:00:00,2018-07-22 18:01:43
353,1925.0,2010.0,1972,1995-09-08 00:00:00,2018-07-22 18:01:43
354,1920.0,2006.0,1972,2013-02-12 00:00:00,2018-07-22 18:01:43
355,1900.0,2000.0,1963,2017-10-26 00:00:00,2018-07-22 18:01:43
356,1880.0,,1963,2012-04-27 00:00:00,2018-07-22 18:01:43
357,1885.0,2013.0,1972,2017-10-05 00:00:00,2018-07-22 18:01:43
